Index	First Frame	Number Frames	Frames Missing	Position X [nm]	Position Y [nm]	Precision [nm]	Number Photons	Background variance	Chi square	PSF half width [nm]	Channel	Z Slice
1	80	1	0	20353.8	2867.4	13.9	1433	115.62	0.73	114.3	1	1
2	80	1	0	12377.8	9851.2	17.0	3146	340.06	1.19	146.8	1	1
3	81	1	0	14929.3	11765.1	19.9	1372	189.00	0.85	119.4	1	1
4	81	1	0	12811.4	13747.5	12.5	3901	166.11	0.78	159.0	1	1
5	83	1	0	12783.1	13762.5	19.9	2061	258.29	1.10	133.3	1	1
6	85	1	0	11505.5	13993.9	28.0	2501	930.21	1.11	133.6	1	1
7	85	1	0	20521.1	19174.7	24.0	1220	265.60	1.10	112.8	1	1
8	85	1	0	14396.2	10071.2	11.9	4883	256.57	1.14	155.9	1	1
9	85	1	0	14468.3	8085.8	9.9	3744	342.93	0.93	121.0	1	1
10	86	1	0	11554.5	14023.7	27.8	989	487.32	1.05	96.4	1	1
11	86	1	0	7896.5	26875.1	8.5	4497	200.09	0.95	133.0	1	1
12	86	1	0	14359.2	10104.2	14.6	2695	366.86	1.23	121.0	1	1
13	87	1	0	2203.1	10173.1	11.1	3282	238.33	0.92	130.0	1	1
14	88	1	0	11125.4	24512.4	17.2	1573	195.35	0.75	117.6	1	1
15	88	1	0	7909.8	26904.8	9.8	4447	303.78	1.09	132.1	1	1
16	88	1	0	2218.7	10182.0	9.2	3733	279.95	1.08	120.7	1	1
17	88	1	0	9756.2	13916.5	10.1	5292	489.27	1.67	129.8	1	1
18	89	1	0	2263.6	10131.8	15.8	2462	274.61	0.87	132.7	1	1
19	89	1	0	6786.0	16900.8	17.4	2867	285.59	1.00	146.2	1	1
20	89	1	0	7982.2	26972.4	8.0	5230	301.88	0.99	129.4	1	1
21	90	1	0	2283.0	10096.0	17.7	2101	278.66	1.03	128.4	1	1
22	90	1	0	7876.1	27020.8	11.8	4229	267.83	1.04	146.2	1	1
23	90	1	0	3002.8	21867.6	8.4	5485	213.47	1.05	144.1	1	1
24	91	1	0	9876.2	20673.2	13.9	2401	230.53	0.82	124.8	1	1
25	91	1	0	14077.2	12253.9	26.9	1940	556.11	1.26	128.8	1	1
26	91	1	0	7881.7	27064.1	8.8	5121	316.03	1.08	133.5	1	1
27	92	1	0	10665.3	19367.4	16.8	1658	198.96	0.91	116.7	1	1
28	93	1	0	22727.5	22623.1	20.5	4330	362.27	1.16	183.2	1	1
29	94	1	0	12598.9	13662.3	23.4	1129	317.87	1.05	102.3	1	1
30	94	1	0	2401.7	9994.8	10.7	2503	219.80	0.87	113.2	1	1
31	95	1	0	2440.9	9945.1	13.9	2572	192.73	0.88	135.3	1	1
32	96	1	0	30586.5	14756.6	18.7	4694	487.00	1.35	170.9	1	1
33	96	1	0	22608.6	4742.4	8.9	2848	163.53	1.11	111.1	1	1
34	98	1	0	30372.1	12513.6	20.5	5610	669.49	1.22	183.5	1	1
35	99	1	0	6808.4	16909.6	28.0	2114	288.81	1.17	158.4	1	1
36	99	1	0	24915.3	12678.6	14.8	2412	315.13	1.18	119.7	1	1
37	99	1	0	2287.5	9962.4	15.1	2187	210.05	0.98	127.5	1	1
38	100	1	0	2007.6	7488.6	12.5	2724	204.02	1.03	128.9	1	1
39	101	1	0	25358.4	16502.4	13.4	3661	191.35	0.89	155.0	1	1
40	101	1	0	9870.2	26283.4	9.7	5396	252.00	1.24	147.7	1	1
41	102	1	0	31017.8	16689.7	19.3	1439	213.39	0.90	116.3	1	1
42	104	1	0	11753.4	11913.7	17.8	2285	312.86	1.05	127.3	1	1
43	105	1	0	30406.9	12473.8	22.8	4865	596.26	1.28	184.4	1	1
44	106	1	0	7876.3	27670.1	15.4	1674	171.33	0.83	116.8	1	1
45	106	1	0	9335.0	14350.3	14.9	4478	443.61	0.89	155.9	1	1
46	107	1	0	834.7	20644.1	13.0	2674	222.34	1.00	127.9	1	1
47	108	1	0	719.3	20853.5	11.6	2990	170.75	1.04	131.9	1	1
48	109	1	0	15253.9	19840.1	25.1	1306	357.22	1.14	112.8	1	1
49	109	1	0	695.5	20786.4	13.5	3307	274.52	0.97	140.0	1	1
50	110	1	0	605.2	20736.4	16.7	2176	182.75	0.95	136.4	1	1
51	111	1	0	12245.1	15938.7	17.5	2035	211.35	0.92	130.4	1	1
52	114	1	0	6793.0	16945.9	29.2	1922	339.98	1.31	149.4	1	1
53	115	1	0	30470.8	12247.0	23.5	4772	672.15	1.01	183.2	1	1
54	117	1	0	14048.5	12281.3	20.5	836	226.48	1.20	86.8	1	1
55	119	1	0	11199.9	3018.5	14.6	2260	147.83	0.96	135.6	1	1
56	119	1	0	10785.0	13887.0	19.2	1887	343.23	0.99	119.9	1	1
57	122	1	0	30606.0	14729.9	18.5	4169	304.15	0.95	178.6	1	1
58	122	1	0	2685.0	17890.3	12.4	4077	191.72	1.04	155.8	1	1
59	130	1	0	2732.2	17906.5	16.6	5451	479.67	0.90	178.5	1	1
60	135	1	0	15659.1	29388.5	9.2	5447	272.14	0.96	145.7	1	1
61	137	1	0	30379.3	12513.7	20.6	4625	449.85	1.33	180.6	1	1
62	137	1	0	9771.3	26017.5	11.2	3559	221.20	1.16	133.2	1	1
63	140	1	0	26957.0	20386.1	24.5	1309	298.69	1.23	115.3	1	1
64	140	1	0	30587.0	14779.8	25.1	2653	453.08	1.22	153.4	1	1
65	141	1	0	30413.3	12476.7	20.8	3494	355.05	1.09	166.9	1	1
66	143	1	0	13202.2	13356.3	17.0	3341	340.13	0.91	150.8	1	1
67	143	1	0	30404.9	12376.5	27.4	2619	274.83	1.13	173.1	1	1
68	144	1	0	20251.1	24562.5	9.6	3321	157.40	0.75	129.0	1	1
69	147	1	0	6737.0	27313.9	11.1	2525	175.92	1.03	117.3	1	1
70	149	1	0	11035.6	20395.8	12.3	2308	148.79	0.77	124.1	1	1
71	150	1	0	1819.3	20854.4	11.9	3137	207.68	0.95	134.0	1	1
72	151	1	0	2704.3	17927.3	14.4	4099	268.67	1.08	159.2	1	1
73	151	1	0	25360.7	16602.7	11.9	5604	263.77	0.86	170.1	1	1
74	152	1	0	1064.4	20735.3	15.1	1572	131.95	0.90	116.7	1	1
75	152	1	0	18887.9	4598.5	15.0	1651	172.55	0.89	114.2	1	1
76	153	1	0	19093.0	4490.0	13.1	3285	160.48	1.03	149.6	1	1
77	155	1	0	14915.0	5337.8	17.6	1495	265.44	0.98	109.0	1	1
78	156	1	0	2718.6	17876.5	12.6	2876	109.30	0.80	147.4	1	1
79	157	1	0	30617.6	14749.5	25.3	2934	457.79	1.21	161.3	1	1
80	159	1	0	22821.2	22879.6	23.1	3680	450.81	1.47	171.3	1	1
81	160	1	0	25886.4	9576.3	20.2	2907	356.63	1.07	152.1	1	1
82	161	1	0	25857.7	9610.7	22.2	751	262.50	1.00	86.4	1	1
83	165	1	0	30598.8	14751.0	20.6	2017	187.47	1.12	141.0	1	1
84	169	1	0	22707.9	23166.8	13.7	4921	343.84	1.29	160.0	1	1
85	170	1	0	7830.8	26651.5	13.2	4994	279.28	1.01	167.4	1	1
86	172	1	0	30452.3	12257.8	23.1	2890	485.45	1.25	150.7	1	1
87	174	1	0	6980.5	23675.2	7.4	4325	223.73	0.80	120.6	1	1
88	176	1	0	6771.8	16923.6	19.8	1705	269.36	1.28	120.1	1	1
89	176	1	0	30484.8	12226.2	21.7	2285	532.04	1.30	127.5	1	1
90	178	1	0	30466.1	12246.7	25.9	1662	379.25	1.24	127.1	1	1
91	182	1	0	11202.0	3037.5	10.7	2398	117.11	0.81	123.7	1	1
92	188	1	0	10597.3	14682.0	16.8	1699	207.92	0.81	118.3	1	1
93	188	1	0	13590.5	9339.8	11.1	5777	282.13	0.89	165.5	1	1
94	193	1	0	22525.4	22685.4	14.1	3142	375.33	1.07	129.8	1	1
95	197	1	0	6593.6	16035.8	10.9	2261	124.90	0.83	118.0	1	1
96	210	1	0	2985.2	2516.6	13.8	1668	150.67	0.81	115.0	1	1
97	213	1	0	11414.0	12390.7	9.3	3521	258.60	0.91	118.6	1	1
98	214	1	0	13555.0	8962.5	10.0	3886	129.29	0.72	148.8	1	1
99	214	1	0	30474.8	12208.5	16.5	3315	297.51	1.00	150.8	1	1
100	215	1	0	25417.7	16715.3	17.1	3714	302.55	1.18	160.6	1	1
101	226	1	0	12899.8	9700.3	12.1	2677	169.11	1.00	127.3	1	1
102	226	1	0	25356.8	16539.8	12.5	4166	254.72	0.74	154.4	1	1
103	227	1	0	12978.3	9619.9	11.7	5142	278.56	1.15	158.7	1	1
104	228	1	0	2979.8	2513.0	11.5	2304	171.26	0.91	118.6	1	1
105	229	1	0	25513.0	21982.5	21.9	1667	295.68	0.93	125.6	1	1
106	229	1	0	2965.6	2499.9	11.3	1999	103.66	0.89	119.1	1	1
107	230	1	0	11270.4	27759.3	9.0	3475	184.10	0.96	122.5	1	1
108	231	1	0	2982.2	2532.6	15.6	1957	167.09	0.91	129.8	1	1
109	233	1	0	15614.8	27344.9	10.6	3269	187.86	0.75	132.1	1	1
110	241	1	0	22714.7	22694.3	17.2	1544	234.90	0.81	111.7	1	1
111	251	1	0	30452.1	12246.4	17.7	4260	426.54	1.18	164.3	1	1
112	252	1	0	13842.0	25611.3	8.1	4694	281.91	0.90	125.6	1	1
