Frame	pos_x/um	pos_y/um	precision/nm	PSF/nm
80.0	20.3538	2.8674	13.9	114.3
80.0	12.377799999999999	9.8512	17.0	146.8
81.0	14.9293	11.7651	19.9	119.4
81.0	12.811399999999999	13.7475	12.5	159.0
83.0	12.783100000000001	13.7625	19.9	133.3
85.0	11.5055	13.9939	28.0	133.6
85.0	20.521099999999997	19.1747	24.0	112.8
85.0	14.3962	10.071200000000001	11.9	155.9
85.0	14.4683	8.0858	9.9	121.0
86.0	11.5545	14.023700000000002	27.8	96.4
86.0	7.8965	26.8751	8.5	133.0
86.0	14.359200000000001	10.1042	14.6	121.0
87.0	2.2031	10.1731	11.1	130.0
88.0	11.125399999999999	24.512400000000003	17.2	117.6
88.0	7.909800000000001	26.904799999999998	9.8	132.1
88.0	2.2186999999999997	10.182	9.2	120.7
88.0	9.756200000000002	13.9165	10.1	129.8
89.0	2.2636	10.1318	15.8	132.7
89.0	6.786	16.9008	17.4	146.2
89.0	7.9822	26.9724	8.0	129.4
90.0	2.283	10.096	17.7	128.4
90.0	7.8761	27.020799999999998	11.8	146.2
90.0	3.0028	21.8676	8.4	144.1
91.0	9.8762	20.6732	13.9	124.8
91.0	14.077200000000001	12.2539	26.9	128.8
91.0	7.8816999999999995	27.0641	8.8	133.5
92.0	10.665299999999998	19.3674	16.8	116.7
93.0	22.7275	22.623099999999997	20.5	183.2
94.0	12.5989	13.6623	23.4	102.3
94.0	2.4017	9.9948	10.7	113.2
95.0	2.4409	9.9451	13.9	135.3
96.0	30.5865	14.7566	18.7	170.9
96.0	22.6086	4.7424	8.9	111.1
98.0	30.3721	12.5136	20.5	183.5
99.0	6.8084	16.909599999999998	28.0	158.4
99.0	24.9153	12.678600000000001	14.8	119.7
99.0	2.2875	9.962399999999999	15.1	127.5
100.0	2.0076	7.4886	12.5	128.9
101.0	25.358400000000003	16.5024	13.4	155.0
101.0	9.8702	26.2834	9.7	147.7
102.0	31.017799999999998	16.689700000000002	19.3	116.3
104.0	11.7534	11.9137	17.8	127.3
105.0	30.4069	12.473799999999999	22.8	184.4
106.0	7.8763000000000005	27.670099999999998	15.4	116.8
106.0	9.335	14.350299999999999	14.9	155.9
107.0	0.8347	20.644099999999998	13.0	127.9
108.0	0.7192999999999999	20.8535	11.6	131.9
109.0	15.2539	19.8401	25.1	112.8
109.0	0.6955	20.7864	13.5	140.0
110.0	0.6052000000000001	20.7364	16.7	136.4
111.0	12.2451	15.9387	17.5	130.4
114.0	6.793	16.9459	29.2	149.4
115.0	30.4708	12.247	23.5	183.2
117.0	14.0485	12.2813	20.5	86.8
119.0	11.1999	3.0185	14.6	135.6
119.0	10.785	13.887	19.2	119.9
122.0	30.606	14.729899999999999	18.5	178.6
122.0	2.685	17.8903	12.4	155.8
130.0	2.7321999999999997	17.9065	16.6	178.5
135.0	15.6591	29.3885	9.2	145.7
137.0	30.3793	12.5137	20.6	180.6
137.0	9.7713	26.0175	11.2	133.2
140.0	26.957	20.3861	24.5	115.3
140.0	30.587	14.7798	25.1	153.4
141.0	30.4133	12.476700000000001	20.8	166.9
143.0	13.202200000000001	13.3563	17.0	150.8
143.0	30.4049	12.3765	27.4	173.1
144.0	20.251099999999997	24.5625	9.6	129.0
147.0	6.737	27.3139	11.1	117.3
149.0	11.0356	20.395799999999998	12.3	124.1
150.0	1.8193	20.854400000000002	11.9	134.0
151.0	2.7043000000000004	17.9273	14.4	159.2
151.0	25.3607	16.602700000000002	11.9	170.1
152.0	1.0644	20.7353	15.1	116.7
152.0	18.887900000000002	4.5985	15.0	114.2
153.0	19.093	4.49	13.1	149.6
155.0	14.915	5.3378000000000005	17.6	109.0
156.0	2.7186	17.8765	12.6	147.4
157.0	30.6176	14.7495	25.3	161.3
159.0	22.8212	22.8796	23.1	171.3
160.0	25.886400000000002	9.5763	20.2	152.1
161.0	25.8577	9.610700000000001	22.2	86.4
165.0	30.5988	14.751	20.6	141.0
169.0	22.707900000000002	23.1668	13.7	160.0
170.0	7.8308	26.6515	13.2	167.4
172.0	30.4523	12.2578	23.1	150.7
174.0	6.9805	23.6752	7.4	120.6
176.0	6.7718	16.923599999999997	19.8	120.1
176.0	30.4848	12.2262	21.7	127.5
178.0	30.466099999999997	12.2467	25.9	127.1
182.0	11.202	3.0375	10.7	123.7
188.0	10.597299999999999	14.682	16.8	118.3
188.0	13.5905	9.339799999999999	11.1	165.5
193.0	22.5254	22.6854	14.1	129.8
197.0	6.5936	16.0358	10.9	118.0
210.0	2.9852	2.5166	13.8	115.0
213.0	11.414	12.3907	9.3	118.6
214.0	13.555	8.9625	10.0	148.8
214.0	30.4748	12.2085	16.5	150.8
215.0	25.4177	16.7153	17.1	160.6
226.0	12.899799999999999	9.700299999999999	12.1	127.3
226.0	25.3568	16.5398	12.5	154.4
227.0	12.978299999999999	9.6199	11.7	158.7
228.0	2.9798	2.513	11.5	118.6
229.0	25.513	21.9825	21.9	125.6
229.0	2.9656	2.4999000000000002	11.3	119.1
230.0	11.2704	27.7593	9.0	122.5
231.0	2.9821999999999997	2.5326	15.6	129.8
233.0	15.614799999999999	27.344900000000003	10.6	132.1
241.0	22.7147	22.6943	17.2	111.7
251.0	30.452099999999998	12.2464	17.7	164.3
252.0	13.842	25.6113	8.1	125.6
253.0	21.638900000000003	7.1502	12.7	129.0
254.0	22.4046	28.3337	16.1	117.5
257.0	16.6316	2.7875	17.0	125.8
260.0	8.6446	27.9088	16.0	163.2
260.0	25.5653	15.457	10.6	118.4
269.0	1.7338	8.995	13.4	105.5
272.0	30.569599999999998	14.732700000000001	25.8	140.7
276.0	15.31	3.524	11.5	135.7
276.0	2.0649	9.135399999999999	8.5	119.7
277.0	15.258899999999999	3.6416999999999997	12.2	134.8
278.0	2.1271999999999998	9.1752	9.5	119.8
278.0	15.1646	3.7954	10.3	132.8
279.0	2.1198	9.201600000000001	13.2	129.9
279.0	15.0634	3.6259	10.9	142.3
282.0	3.6245	16.5265	21.5	128.9
282.0	12.5929	9.7219	16.3	140.2
284.0	10.9021	11.8711	19.5	124.2
286.0	13.1516	27.2449	13.6	116.7
292.0	11.4496	13.0326	13.1	147.9
293.0	15.644200000000001	28.9131	14.4	105.3
295.0	12.0694	14.0325	19.3	106.5
295.0	6.1193	22.375700000000002	14.0	145.5
298.0	30.4716	12.2185	19.8	111.1
298.0	26.9463	20.3885	9.1	130.1
299.0	7.5107	16.793599999999998	10.1	124.9
299.0	13.4266	12.693299999999999	10.5	128.4
300.0	12.0709	14.0545	16.0	111.6
301.0	28.8819	13.8074	14.1	116.5
302.0	28.7052	13.8013	15.0	161.3
303.0	28.6157	13.783100000000001	13.3	136.3
308.0	5.228899999999999	20.6275	18.1	99.7
308.0	18.7524	3.4606	9.0	132.5
309.0	18.7977	3.4682	11.0	151.4
310.0	18.917099999999998	3.3676	16.4	141.1
310.0	6.6976	16.8195	14.8	159.8
310.0	2.8228	29.8789	18.9	156.4
315.0	22.4667	22.9072	16.1	140.5
328.0	23.9605	23.7263	17.6	122.4
328.0	11.7611	13.094	15.8	124.2
328.0	12.060799999999999	14.081100000000001	13.9	118.4
330.0	11.8	13.097	19.0	130.4
